level_n,ionization_energy,xi_ion,alpha_ion,beta_ion
1,15.7596119,6,0.51,1.0
2,4.2116119,1,0.35,4.0
3,4.1356119,1,0.35,4.0
4,4.2141056,1,0.35,4.0
5,4.1091056,1,0.35,4.0
6,2.8526119,1,0.45,4.0
7,2.6436119,1,0.39,4.0
8,2.6421056,1,0.39,4.0
9,2.6091056,1,0.39,4.0
10,2.4866119,1,0.32,4.0
11,2.4571056,1,0.32,4.0
12,1.8756119,1,0.67,1.0
13,1.7656119,1,0.67,1.0
14,1.7081056,1,0.67,1.0
15,1.6851056,1,0.67,1.0
16,1.6696119,1,0.67,1.0
17,1.6331056,1,0.67,1.0
18,1.2506119,1,0.67,1.0
19,1.2471056,1,0.67,1.0
20,0.9676119,1,0.67,1.0
21,0.9611056,1,0.67,1.0
22,0.8541056,1,0.67,1.0
23,0.8536119,1,0.67,1.0
24,0.7321056,1,0.67,1.0
25,0.7316119,1,0.67,1.0
26,0.6131056,1,0.67,1.0
27,0.6066119,1,0.67,1.0
28,0.5441056,1,0.67,1.0
29,0.5446119,1,0.67,1.0
30,0.4761056,1,0.67,1.0
31,0.4776119,1,0.67,1.0
32,0.4171056,1,0.67,1.0
33,0.4126119,1,0.67,1.0
34,0.3771056,1,0.67,1.0
35,0.3776119,1,0.67,1.0
36,0.3371056,1,0.67,1.0
37,0.3366119,1,0.67,1.0
38,0.3011056,1,0.67,1.0
39,0.2996119,1,0.67,1.0
40,0.2781056,1,0.67,1.0
41,0.2776119,1,0.67,1.0
42,0.2121056,1,0.67,1.0
43,0.2116119,1,0.67,1.0
44,0.1681056,1,0.67,1.0
45,0.1676119,1,0.67,1.0
46,0.1361056,1,0.67,1.0
47,0.1356119,1,0.67,1.0
48,0.1121056,1,0.67,1.0
49,0.1116119,1,0.67,1.0
50,0.0941056,1,0.67,1.0
51,0.0936119,1,0.67,1.0
52,0.0801056,1,0.67,1.0
53,0.0796119,1,0.67,1.0
54,0.0691056,1,0.67,1.0
55,0.0686119,1,0.67,1.0
56,0.0601056,1,0.67,1.0
57,0.0596119,1,0.67,1.0
58,0.0531056,1,0.67,1.0
59,0.0526119,1,0.67,1.0
60,0.0471056,1,0.67,1.0
61,0.0466119,1,0.67,1.0
62,0.0421056,1,0.67,1.0
63,0.0416119,1,0.67,1.0
64,0.0381056,1,0.67,1.0
65,0.0376119,1,0.67,1.0
